,dm,vector_size,window,epochs,score
0,0,200,3,10,13687
30,0,500,5,10,13681
45,0,700,3,10,13661
65,1,300,3,30,13653
15,0,300,10,10,13651
9,0,300,3,10,13647
101,1,700,3,30,13646
74,1,400,3,30,13641
51,0,700,10,10,13632
3,0,200,5,10,13625
24,0,400,10,10,13607
36,0,600,3,10,13599
42,0,600,10,10,13597
56,1,200,3,30,13596
12,0,300,5,10,13592
18,0,400,3,10,13587
48,0,700,5,10,13575
39,0,600,5,10,13572
27,0,500,3,10,13572
83,1,500,3,30,13571
21,0,400,5,10,13570
92,1,600,3,30,13543
6,0,200,10,10,13540
33,0,500,10,10,13524
100,1,700,3,20,13511
86,1,500,5,30,13485
55,1,200,3,20,13472
91,1,600,3,20,13442
64,1,300,3,20,13413
59,1,200,5,30,13408
73,1,400,3,20,13407
95,1,600,5,30,13389
68,1,300,5,30,13344
82,1,500,3,20,13315
104,1,700,5,30,13304
77,1,400,5,30,13271
54,1,200,3,10,13239
63,1,300,3,10,13200
81,1,500,3,10,13180
76,1,400,5,20,13159
103,1,700,5,20,13147
67,1,300,5,20,13140
99,1,700,3,10,13115
85,1,500,5,20,13091
94,1,600,5,20,13083
90,1,600,3,10,13073
72,1,400,3,10,13054
58,1,200,5,20,13008
43,0,600,10,20,13001
16,0,300,10,20,12939
28,0,500,3,20,12928
40,0,600,5,20,12927
37,0,600,3,20,12913
31,0,500,5,20,12913
49,0,700,5,20,12892
84,1,500,5,10,12891
4,0,200,5,20,12870
1,0,200,3,20,12864
7,0,200,10,20,12851
34,0,500,10,20,12849
75,1,400,5,10,12835
25,0,400,10,20,12829
46,0,700,3,20,12824
102,1,700,5,10,12823
52,0,700,10,20,12820
19,0,400,3,20,12813
57,1,200,5,10,12807
22,0,400,5,20,12803
93,1,600,5,10,12791
13,0,300,5,20,12776
47,0,700,3,30,12765
38,0,600,3,30,12758
66,1,300,5,10,12753
11,0,300,3,30,12743
17,0,300,10,30,12727
23,0,400,5,30,12709
10,0,300,3,20,12707
44,0,600,10,30,12705
53,0,700,10,30,12698
29,0,500,3,30,12690
35,0,500,10,30,12686
20,0,400,3,30,12677
50,0,700,5,30,12675
41,0,600,5,30,12671
8,0,200,10,30,12662
32,0,500,5,30,12651
14,0,300,5,30,12625
26,0,400,10,30,12616
71,1,300,10,30,12609
107,1,700,10,30,12607
80,1,400,10,30,12595
89,1,500,10,30,12589
98,1,600,10,30,12572
5,0,200,5,30,12545
88,1,500,10,20,12542
2,0,200,3,30,12528
61,1,200,10,20,12488
70,1,300,10,20,12412
97,1,600,10,20,12376
62,1,200,10,30,12370
106,1,700,10,20,12364
78,1,400,10,10,12357
79,1,400,10,20,12350
105,1,700,10,10,12329
69,1,300,10,10,12325
87,1,500,10,10,12317
96,1,600,10,10,12218
60,1,200,10,10,12164
